district,total_price,price_per_meter,area
Novomoskovsky,7595360,140752,58.5
Northwestern,17870000,244150,75.6
Northern,22000000,280769,74.0
Northeastern,11509740,191040,58.1
Troitsky,3990000,81056,53.4
West,21700000,298654,77.0
Central,66550000,500000,118.0
Eastern,8900000,186328,53.6
Zelenogradsky,7200000,141511,45.0
Southwestern,22000000,257088,84.2
South,15137100,230500,62.0
Southeastern,7798876,144462,58.4
