district,total_price,price_per_meter,area
VerkhIsetsky,3710000,70667,56.4
Kirovsky,3900000,74225,53.2
Oktyabrsky,4200000,83343,54.4
Chkalovsky,3300000,68199,52.4
Zheleznodorozhnyy,3170160,69405,51.8
Leninsky,5250000,82213,63.5
Ordzhonikidzevsky,3427200,73795,44.6
